Name of Event,Category,Date(s),Location,Estimated Size of Event,Number of People/ Capacity of Space,Source for # People,Source Org Title,Article Title,Mention of Police Presence (Y/N),Source for police presence,Official Media Presence,Notes_x,Source 1 URL,Source 2 URL,Address,Venue Capacity,Venue Type,Completed,Main Source for Search,Notes_y,Source,Latitude,Longitude
MUTI CONDUCTS BEETHOVEN & BRAHMS,Music,2018-10-04 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/4/muti-conducts-beethoven-brahms,https://www.riccardomuti.com/en/event/muti-dirige-beethoven-brahms-chicago/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CIVIC ORCHESTRA FELLOWS CHAMBER CONCERT,Music,2018-10-05 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/5/civic-orchestra-fellows-chamber-concert,https://issuu.com/chicagosymphony/docs/1_annual_report_2019,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
SYMPHONY BALL,Music,2018-10-06 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/6/symphony-ball,https://www.riccardomuti.com/en/2018/10/11/symphony-ball-2018/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
JERUSALEM QUARTET WITH PINCHAS ZUKERMAN & AMANDA FORSYTH,Music,2018-10-07 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/7/jerusalem-quartet-with-pinchas-zukerman-amanda-forsyth,https://www.amandaforsyth.com/new-blog/2018/10/24/pinchas-zukerman-and-amanda-forsyth-with-the-jerusalem-quartet-at-symphony-center,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
MAHLER 3,Music,"10/11/2018, 10/12/2018, 10/13/2018, 10/14/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/11/mahler-3,https://csosoundsandstories.org/mahler-3-october-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
AHMAD JAMAL,Music,2018-10-12 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/12/ahmad-jamal,https://www.jambase.com/show/ahmad-jamal-symphony-hall-20181012,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
IN FLANDERS FIELDS: SONGS FROM THE GREAT WAR TO COMMEMORATE THE CENTENNIAL OF THE ARMISTICE,Music,2018-10-15 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/15/in-flanders-fields-songs-from-the-great-war-to-commemorate-the-centennial-of-the-armistice,https://honors.uic.edu/events/cshp-in-flanders-fields/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CSO CHAMBER: ALL-ACCESS — MUSIC803 ENSEMBLE,Music,2018-10-16 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/16/cso-chamber-all-access-music803-ensemble,https://csosoundsandstories.org/music-803-october-2018-cso-all-access-chamber/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
TRIFONOV PLAYS PROKOFIEV,Music,"10/18/2018, 10/19/2018, 10/20/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/18/trifonov-plays-prokofiev,https://news.wttw.com/2018/10/19/cso-pianist-shakes-musical-universe-prokofiev-concerto,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
SHEN YUN SYMPHONY ORCHESTRA,Music,2018-10-20 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/20/shen-yun-symphony-orchestra,https://www.shenyunperformingarts.org/news/view/article/e/C9VP__wJ2q8/shen-yun-symphony-orchestra-kicks-off-2018,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
PRZEBOJE NIEPODLEGLEJ - SONGS OF FREEDOM CELEBRATING 100TH ANNIVERSARY OF THE INDEPENDENCE OF POLAND,Music,2018-10-21 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/21/przeboje-niepodleglej-songs-of-freedom-celebrating-100th-anniversary-of-the-independence-of-poland,https://www.stubhub.com/paderewski-symphony-orchestra-tickets-paderewski-symphony-orchestra-chicago-chicago-symphony-hall-10-21-2018/event/103870718/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CIVIC ORCHESTRA: COMMUNITY CONCERT,Music,2018-10-21 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/10/21/civic-orchestra-community-concert,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
MUSICNOW: QUIRKS AND CURRENTS,Music,2018-10-22 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/22/musicnow-quirks-and-currents,https://www.chicagotribune.com/entertainment/music/ct-ent-musicnow-review-1024-story.html,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
WHEN I WAS ONE-AND-TWENTY: A CELEBRATION OF THE ARMISTICE,Music,2018-10-23 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/23/when-i-was-one-and-twenty-a-celebration-of-the-armistice,http://cep.finditillinois.org/worldWarOne/cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CIVIC ORCHESTRA: MAHLER 6,Music,2018-10-23 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/23/civic-orchestra,https://csosoundsandstories.org/mahler-6-october-2018-civic-orchestra-of-chicago/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
“THE PRESIDENT’S OWN” UNITED STATES MARINE BAND,Music,2018-10-24 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/24/the-president-s-own-united-states-marine-band,https://csosoundsandstories.org/the-presidents-own-band-prepares-chicago-touches-for-its-concert-here/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CLASSIC ENCOUNTER LECTURE,"Music, Event",2018-10-25 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,pre-concert party/event,https://do312.com/events/2018/10/25/classic-encounter-lecture,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
HAITINK CONDUCTS BRUCKNER & BEETHOVEN,Music,"10/25/2018, 10/27/2018, 10/30/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/25/haitink-conducts-bruckner-beethoven,https://splashmags.com/index.php/2018/10/27/haitink-conducts-the-chicago-symphony-orchestra-and-pianist-paul-lewis-review-beethoven-and-bruckner-at-symphony-center/#gsc.tab=0,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
BRIDE OF FRANKENSTEIN AND YOUNG FRANKENSTEIN,Music,2018-10-26 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/10/26/bride-of-frankenstein-and-young-frankenstein,https://csosoundsandstories.org/bride-of-frankenstein-october-2018-cso-special/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
PIERRE-LAURENT AIMARD & TAMARA STEFANOVICH,Music,2018-10-28 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/10/28/pierre-laurent-aimard-tamara-stefanovich,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
BARENBOIM CONDUCTS SMETANA MÁ VLAST,Music,"11/1/2018, 11/2/2018, 11/3/2018, 11/5/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/1/barenboim-conducts-smetana-ma-vlast,https://csosoundsandstories.org/barenboim-conducts-smetana-ma-vlast-november-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
BRANFORD MARSALIS QUARTET WITH SPECIAL GUEST ROY HARGROVE,Music,2018-11-02 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/2/branford-marsalis-quartet-with-special-guest-roy-hargrove,http://cep.finditillinois.org/worldWarOne/cso/ticketsandevents/symphony-center-presents/index.html,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CZECH PHILHARMONIC,Music,2018-11-04 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/4/czech-philharmonic,https://www.ceskafilharmonie.cz/en/concert-detail/20544-chicago-czech-philharmonic/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
MUTI CONDUCTS THE VERDI REQUIEM,Music,"11/8/2018, 11/9/2018, 11/10/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/8/muti-conducts-the-verdi-requiem,https://news.wttw.com/2018/11/09/cso-s-verdi-requiem-music-moment-wake-latest-slaughter,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
DENIS MATSUEV,Music,2018-11-11 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/11/denis-matsuev,https://www.chicago-theater.com/theaters/symphony-center/denis-matsuev.php,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CHICAGO SINFONIETTA PRESENTS SEA OF LIGHT: REFLECTIONS ON DIWALI,Music,"11/10/2018, 11/12/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/12/chicago-sinfonietta-presents-sea-of-light-reflections-on-diwali,https://splashmags.com/index.php/2018/11/15/sea-of-light-reflections-of-diwali-review-the-chicago-sinfonietta-for-the-festival-of-lights/#gsc.tab=0,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
BACH MARATHON FINALE,Music,2018-11-14 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/11/14/bach-marathon-finale,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
ROOSEVELT UNIVERSITY’S CCPA SYMPHONY ORCHESTRA,Music,2018-11-14 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/11/14/roosevelt-university-s-ccpa-symphony-orchestra,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CLASSIC ENCOUNTER LECTURE,"Music, Event",2018-11-15 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/11/15/classic-encounter-lecture,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
TCHAIKOVSKY PIANO CONCERTO NO. 1,Music,"11/15/2018, 11/17/2018, 11/18/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/15/tchaikovsky-piano-concerto-no-1,https://csosoundsandstories.org/tchaikovsky-piano-concerto-no-1-november-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
SOWETO GOSPEL CHOIR,Music,2018-11-16 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/16/soweto-gospel-choir,https://www.jambase.com/show/soweto-gospel-choir-symphony-hall-20181116,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
ONCE UPON A SYMPHONY: THE UGLY DUCKLING,"Music, Youth Event","11/17/2018, 11/19/2018, 12/8/2018, 12/10/2018, 1/12/2019",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/17/once-upon-a-symphony-the-ugly-duckling,https://www.chicagoparent.com/events/the-ugly-duckling/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
STAR WARS: THE EMPIRE STRIKES BACK IN CONCERT,Music,"11/23/2018, 11/24/2018, 11/25/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/23/star-wars-the-empire-strikes-back-in-concert,https://www.chicago-theater.com/theaters/symphony-center/star-wars-the-empire-strikes-back-in-concert.php,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
VIENNA BOYS CHOIR: CHRISTMAS IN VIENNA,Music,2018-11-24 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/24/vienna-boys-choir-christmas-in-vienna,http://cep.finditillinois.org/worldWarOne/cso/ticketsandevents/symphony-center-presents/index.html,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CSO SCHOOL CONCERTS: THE CHICAGO SYMPHONY ORCHESTRA SOUND,Music,"11/28/2018, 11/29/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/11/28/cso-school-concerts-the-chicago-symphony-orchestra-sound-1537891880,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CHEN LEADS ALL-MOZART,Music,"11/29/2018, 11/30/2018, 12/1/2018, 12/4/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/29/chen-leads-all-mozart,https://csosoundsandstories.org/chen-leads-all-mozart-november-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
SOUNDPOST: MUSIC AND MEDICINE,Music,2018-11-29 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/29/soundpost-music-and-medicine,https://m.facebook.com/CSOOvertureCouncil/photos/?tab=albums,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CSO SCHOOL CONCERTS: THE YOUNG PERSON'S GUIDE TO THE ORCHESTRA,Music,"11/30/2018, 12/1/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/11/30/cso-school-concerts-the-young-person-s-guide-to-the-orchestra-with-special-guests-from-the-second-city-lbjmoem,https://cso.org/experience/article/2871/childrens-concerts-help-to-spark-a-lifelong-a,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CÉDRIC TIBERGHIEN,Music,2018-12-02 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/2/cedric-tiberghien,https://csosoundsandstories.org/cedric-tiberghien-december-2018-scp-piano/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CLASSIC ENCOUNTER LECTURE,Music,2018-12-06 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/12/6/classic-encounter-lecture,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
THE INEXTINGUISHABLE SYMPHONY,Music,"12/6/2018, 12/7/2018, 12/8/2018, 12/11/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/6/the-inextinguishable-symphony,https://csosoundsandstories.org/the-inextinguishable-symphony-december-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
HARRY POTTER AND THE CHAMBER OF SECRETS™ IN CONCERT,Music,"12/7/2018, 12/8/2018, 12/9/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/7/harry-potter-and-the-chamber-of-secrets-in-concert,https://csosoundsandstories.org/harry-potter-and-the-chamber-of-secrets-in-concert-december-2018-cso-special/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CIVIC ORCHESTRA: 20TH-CENTURY INNOVATORS,Music,2018-12-12 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/12/civic-orchestra,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
TILSON THOMAS CONDUCTS TCHAIKOVSKY 6,Music,"12/13/2018, 12/14/2018, 12/15/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/13/tilson-thomas-conducts-tchaikovsky-6,https://chicagoclassicalreview.com/2018/12/tilson-thomas-leads-cso-in-a-fresh-and-powerful-take-on-tchaikovskys-pathetique/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
"THE CHICAGO SYMPHONY ORCHESTRA'S MERRY, MERRY CHICAGO!",Music,"12/14/2018, 12/15/2018, 12/16/2018, 12/21/2018, 12/22/2018, 12/23/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/12/14/the-chicago-symphony-orchestra-s-merry-merry-chicago,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
THE CHICAGO SYMPHONY ORCHESTRA BRASS,Music,2018-12-19 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2018/12/19/the-chicago-symphony-orchestra-brass,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
HANDEL MESSIAH,Music,"12/20/2018, 12/21/2018, 12/22/2018, 12/23/2018",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/20/handel-messiah,https://csosoundsandstories.org/handel-messiah-december-2018-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
SALUTE TO VIENNA NEW YEAR’S CONCERT,Music,2018-12-30 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2018/12/30/salute-to-vienna-new-year-s-concert,https://www.dailyherald.com/submitted/20181219/salute-to-vienna-new-years-concert-comes-to-symphony-center-dec-30,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
ELGAR ENIGMA VARIATIONS,Music,"1/10/2019, 1/11/2019, 1/12/2019",Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2019/1/10/elgar-enigma-variations,https://csosoundsandstories.org/elgar-enigma-variations-january-2019-cso/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
AAN PRECONCERT EVENT: A CELEBRATION OF COMPOSER WILLIAM GRANT STILL,Music,2019-01-12 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,could not verify with second source,https://do312.com/events/2019/1/12/aan-preconcert-event-a-celebration-of-composer-william-grant-still,,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CIVIC ORCHESTRA: TCHAIKOVSKY 4,Music,2019-01-15 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2019/1/15/civic-orchestra-tchaikovsky-4,https://csosoundsandstories.org/tchaikovsky-4-january-2019-civic-orchestra/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
CHICAGO SINFONIETTA PRESENTS DR. MARTIN LUTHER KING JR. TRIBUTE CONCERT,Music,2019-01-21 00:00:00,Chicago Symphony Orchestra,Medium,2615,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,,,,,,,https://do312.com/events/2019/1/21/chicago-sinfonietta-presents-dr-martin-luther-king-jr-tribute-concert,https://heronagency.com/chicago-top-holiday-season-events-specials-gifts/,"220 S Michigan Ave, Chicago, IL 60604",2615.0,Music,Yes,do312,,https://www.eventective.com/chicago-il/chicago-symphony-orchestra-536751.html,41.87898,-87.625109
